Title,Name,Type.of.name,Role,All.names,Dates.associated.with.name,Date.of.publication ,Country.of.publication,Place.of.publication,City,Colony.Name,Continent,Publisher,Edition,Languages,Type.of.resource,Content.type,Material type,Uniform title,﻿BL.record.ID,URL,BL shelfmark,ARK,,
Narrative of a Late Steam Voyage from England to India via the Mediteranean. (Part II. Account of a Late Palankeen Trip from Bombay to Mhow and Lahore.),"Burt, Thomas Seymour",person,N/A,"Burt, Thomas Seymour [person]",N/A,1840,India,Calcutta,Bombay,India,Asia,Medical Journal Press,N/A,English,Monograph,Text,Online resource,N/A,014806459,http://access.bl.uk/item/viewer/ark:/81055/vdc_0000000530C4,Digital Store 10027.ccc.2,ark:/81055/vdc_0000000530C4,N/A,N/A
The Niger Sources and the borders of the new Sierra Leone Protectorate ... With four full-page illustrations and a map,"Trotter, James Keith",person,N/A,"Trotter, James Keith, Sir, k.c.b [person]",N/A,1898,England,London,Unspecified,Sierra Leone,Africa,Methuen,N/A,English,Monograph,Text,Online resource,N/A,014831132,http://access.bl.uk/item/viewer/ark:/81055/vdc_00000005A300,Digital Store 10096.bbb.30,ark:/81055/vdc_00000005A300,N/A,N/A
A Short History of British Colonial Policy,"Egerton, Hugh Edward",person,N/A,"Egerton, Hugh Edward [person]",N/A,1897,England,London,Unspecified,Unspecified,Unspecified,Methuen,N/A,English,Monograph,Text,Online resource,N/A,015105940,http://access.bl.uk/item/viewer/ark:/81055/vdc_000000022C38,Digital Store 9525.ee.14,ark:/81055/vdc_000000022C38,N/A,N/A
"A narrative of the irruption of the Kafir hordes into the Eastern Province of the Cape of Good Hope, 1834-35. Compiled from official documents ...","Godlonton, Robert",person,N/A,"Godlonton, Robert [person]",N/A,1836,South Africa,Graham's Town,Unspecified,Cape of Good Hope,Africa,Meurant & Godlonton,N/A,English,Monograph,Text,Online resource,N/A,014873205,http://access.bl.uk/item/viewer/ark:/81055/vdc_000000014C76,Digital Store 9061.c.35,ark:/81055/vdc_000000014C76,N/A,N/A
"Introductory remarks to a narrative of the irruption of the Kafir hordes, into the Eastern Province of the Cape of Good Hope, A.D. 1834-35. Part I (Parts II & III)","Godlonton, Robert",person,N/A,"Godlonton, Robert [person]",N/A,1835,South Africa,Graham's Town,Unspecified,Cape of Good Hope,Africa,Meurant & Godlonton,N/A,English,Monograph,Text,Online resource,N/A,014880499,http://access.bl.uk/item/viewer/ark:/81055/vdc_000000015F24,Digital Store 9061.cc.1,ark:/81055/vdc_000000015F24,N/A,N/A
"Jottings made during a Tour amongst the Land Dyaks of Upper Sarawak, Borneo, during the year, 1874","Denison, Noel",person,N/A,"Denison, Noel [person]",N/A,1879,Singapore,Singapore,Unspecified,Borneo,Asia,Mission Press,N/A,English,Monograph,Text,Online resource,N/A,014808961,http://access.bl.uk/item/viewer/ark:/81055/vdc_0000000356AC,Digital Store 10058.h.7,ark:/81055/vdc_0000000356AC,N/A,N/A
The Parliamentary Representation of Cornwall to 1832,"Courtney, William Prideaux",person,N/A,"Courtney, William Prideaux [person]",N/A,1889,England,London,Cornwall,Canada,America,N/A,N/A,English,Monograph,Text,Online resource,N/A,015105903,http://access.bl.uk/item/viewer/ark:/81055/vdc_000000022C9E,Digital Store 9525.ff.11,ark:/81055/vdc_000000022C9E,N/A,N/A
"Origin of the festival of Saint-Jean-Baptiste. Quebec, its gates and environs ... Something about the streets, lanes and early history of the ancient capital","Le Moine, James Macpherson",person,N/A,"Le Moine, James Macpherson, Sir [person]",N/A,1880,Canada,Quebec,Quebec,Canada,America,'Morning Chronicle' Office,N/A,English,Monograph,Text,Online resource,N/A,014872191,http://access.bl.uk/item/viewer/ark:/81055/vdc_0000000130E0,Digital Store 10470.f.15,ark:/81055/vdc_0000000130E0,N/A,N/A
Alphabet of First Things in Canada. A ready reference book of Canadian events,"Johnson, George",person,N/A,"Johnson, George, of Ottawa [person]",N/A,1897,Canada,Ottawa,Unspecified,Canada,America,Mortimer,Third Edition,English,Monograph,Text,Online resource,N/A,015106062,http://access.bl.uk/item/viewer/ark:/81055/vdc_000000022EB4,Digital Store 9555.de.5,ark:/81055/vdc_000000022EB4,N/A,N/A
"Journal of a Steam Voyage down the Danube to Constantinople, and thence by way of Malta and Marseilles to England [With plates.]","Snow, Robert",person,N/A,"Snow, Robert, of St. John's College, Cambridge [person]",N/A,1842,England,London,Unspecified,Malta,Europe,Moyes & Barclay,N/A,English,Monograph,Text,Online resource,N/A,014808636,http://access.bl.uk/item/viewer/ark:/81055/vdc_00000005B506,Digital Store 10106.d.6,ark:/81055/vdc_00000005B506,N/A,N/A
"Las Antillas. Cuba, Puerto-Rico, La Martinica, Santo Domingo, Haiti, Jamaica, Guadalupe, San Thomas, Trinidad","Cortón, Antonio",person,N/A,"Cortón, Antonio [person]",N/A,1898,Spain,Barcelona,Unspecified,"Jamaica, Trinidad",America,N/A,N/A,Spanish,Monograph,Text,Online resource,N/A,014871491,http://access.bl.uk/item/viewer/ark:/81055/vdc_0000000148C8,Digital Store 010480.ff.3,ark:/81055/vdc_0000000148C8,N/A,N/A
"Descriptive Catalogue of the Specimens of Rocks of Victoria in the Industrial and Technological Museum, Melbourne.","Ulrich, G.H.F.",organisation,N/A,"Industrial and Technological Museum (Melbourne) [organisation] ; Ulrich, George H. F. [person] ; Newbery, J. Cosmo [person]",N/A,1894,Australia,"Victoria, Melbourne",Melbourne,Australia,Oceania,Museums ; Public Library,N/A,English,Monograph,Text,Online resource,N/A,014818948,http://access.bl.uk/item/viewer/ark:/81055/vdc_00000005DDF2,Digital Store 7108.de.27,ark:/81055/vdc_00000005DDF2,N/A,N/A
"Halifax Grand Musical Festival, 1830 ... Miscellaneous Selection for the First Concert ... Sept. 29th, etc. (Second Morning: The Messiah, etc. Third Morning: The First Part of Haydn's Creation, etc.) [Books of Words.]",Halifax Musical Festival,organisation,N/A,Musical Festival (Halifax) [organisation],N/A,1830,Nova Scotia,Halifax,Halifax,Canada,America,N. Whitby,N/A,English,Monograph,Text,Online resource,N/A,014847363,http://access.bl.uk/item/viewer/ark:/81055/vdc_000000008904,Digital Store 10347.ee.14. (7.),ark:/81055/vdc_000000008904,N/A,N/A
"Book of Reference, to a plan of the town and township of Halifax, consisting of the numbers, proprietors' names, situation, and quantities ... of each field, numerically arranged, taken from a survey, made in the year 1826","Day, Thomas",person,surveyor,"Day, Thomas, surveyor [person]",N/A,1827,Nova Scotia,Halifax,Halifax,Canada,America,N. Whitley,N/A,English,Monograph,Text,Online resource,N/A,014847134,http://access.bl.uk/item/viewer/ark:/81055/vdc_0000000088F8,Digital Store 10347.ee.14. (5.),ark:/81055/vdc_0000000088F8,N/A,N/A
"Rapport du Comité choisi sur le gouvernement civil du Canada, [22nd July 1827.] . Ré-imprimé, par ordre de la Chambre d'Assemblée du Bas Canada","Great Britain, Parliament, House of Commons",organisation,N/A,"Great Britain, Parliament, House of Commons [organisation]",N/A,1829,Canada,Quebec,Unspecified,Canada,America,Neilson & Cowan,N/A,French,Monograph,Text,Online resource,Proceedings. II. Chronological Series,015105945,http://access.bl.uk/item/viewer/ark:/81055/vdc_000000023796,Digital Store 9555.c.4,ark:/81055/vdc_000000023796,N/A,N/A
"Peeps into the Haunts and Homes of the Rural Population of Cornwall. Being reminiscences of Cornish character and characteristics, etc","Tregellas, John Tabois",person,N/A,"Tregellas, Walter Hawken [person] ; T, W. H. [person] ; Tregellas, John Tabois [person] ; Carter, Richard Harry [person] ; James, J. King [person]",N/A,1879,England,Truro,Cornwall,Canada,America,Netherton & Worth,Another Edition,English,Monograph,Text,Online resource,N/A,014831064,http://access.bl.uk/item/viewer/ark:/81055/vdc_00000005644E,Digital Store 10352.b.10,ark:/81055/vdc_00000005644E,N/A,N/A
A Compendium of the History and Geography of Cornwall [With a map.],"Daniell, John Jeremiah",person,N/A,"Daniell, John Jeremiah [person] ; Collins, Joseph Henry [person]",N/A,1894,England,Truro,Cornwall,Canada,America,Netherton & Worth,Third Edition,English,Monograph,Text,Online resource,N/A,014808634,http://access.bl.uk/item/viewer/ark:/81055/vdc_0000000594A2,Digital Store 010349.f.3,ark:/81055/vdc_0000000594A2,N/A,N/A
"Lahore: its history ... and antiquities. With an account of its modern institutions, inhabitants ... customs, &c. ... Illustrated, etc","Muhammad Latif, Syad",person,N/A,N/A,N/A,1892,India,Lahore,Unspecified,Lahore,Asia,New Imperial Press,N/A,English,Monograph,Text,Online resource,N/A,014826079,http://access.bl.uk/item/viewer/ark:/81055/vdc_000000035E50,Digital Store 010057.k.7,ark:/81055/vdc_000000035E50,N/A,N/A
"To the Land of Gold, etc. (The Vancouver Routes to the Yukon.) [With a map.]",unknown,unknown,N/A,N/A,N/A,1898,Canada,Vancouver,Unspecified,Canada,America,News-Advertiser,N/A,English,Monograph,Text,Online resource,N/A,014872163,http://access.bl.uk/item/viewer/ark:/81055/vdc_00000001367A,Digital Store 010470.eee.49,ark:/81055/vdc_00000001367A,N/A,N/A
"Royal Charter of Incorporation, ... passed ... the 6th August, 1847 for the India and Australia Mail Steam Packet Company, etc",India And Australia Mail Steam Packet Company,organisation,N/A,India And Australia Mail Steam Packet Company [organisation],N/A,1847,England,London,Unspecified,"Australia, India","Asia, Oceania",Offices,N/A,English,Monograph,Text,Online resource,N/A,014750884,http://access.bl.uk/item/viewer/ark:/81055/vdc_000000051D0E,Digital Store 1298.h.25. (2.),ark:/81055/vdc_000000051D0E,N/A,N/A
L'Amérique telle qu'elle est. Voyage anecdotique de Marcel Bonneau dans le Nord et le Sud des États-Unis Excursion au Canada,"Comettant, Oscar",person,N/A,"Saintin, E. [person] ; Noël, Jules [person] ; Comettant, Oscar, 1819-1898 [person] ; Outhwaite, artist [person] ; Willmann, Ed, engraver [person]",1819-1898,1866,France,Paris,Unspecified,Canada,America,N/A,Another Edition,French,Monograph,Text,Online resource,N/A,014866538,http://access.bl.uk/item/viewer/ark:/81055/vdc_00000001108E,Digital Store 10411.h.2,ark:/81055/vdc_00000001108E,N/A,N/A
"Acadian Geology: an account of the geological structure and mineral resources of Nova Scotia, and portions of the neighbouring provinces of British America [With maps.]","Dawson, John William",person,N/A,"Dawson, John William, Sir, 1820-1899 [person]",1820-1899,1855,Scotland,Edinburgh,Unspecified,"Nova Scotia, British Columbia",America,Oliver & Boyd,N/A,English,Monograph,Text,Online resource,N/A,014839761,http://access.bl.uk/item/viewer/ark:/81055/vdc_000000003918,Digital Store 7107.b.17,ark:/81055/vdc_000000003918,N/A,N/A
"The Story of Australia. Its discovery, colonisation and development ... With a map","Laurie, James Stuart",person,N/A,"Laurie, James Stuart [person]",N/A,1896,England,London,Unspecified,Australia,Oceania,Osgood,N/A,English,Monograph,Text,Online resource,N/A,015178249,http://access.bl.uk/item/viewer/ark:/81055/vdc_00000002640C,Digital Store 9781.df.9,ark:/81055/vdc_00000002640C,N/A,N/A
"City of Ottawa, capital of the Dominion of Canada [With illustrations.]",unknown,unknown,N/A,N/A,N/A,1899,Canada,Ottawa,Ottawa,Canada,America,Ottawa Free Press,N/A,English,Monograph,Text,Online resource,Appendix,014872523,http://access.bl.uk/item/viewer/ark:/81055/vdc_000000012D98,Digital Store 10460.g.21,ark:/81055/vdc_000000012D98,N/A,N/A
Articles on the ethnology of New Zealand. Reprinted from the Transactions of the New Zealand Institute,"Colenso, William",person,N/A,"Colenso, William, f.l.s [person]",N/A,1877,New Zealand,"New Zealand
 ",Unspecified,New Zealand,Oceania,the New Zealand Institute,N/A,English,Monograph,Text,Online resource,N/A,014807609,http://access.bl.uk/item/viewer/ark:/81055/vdc_000000056052,Digital Store 10007.pp.27,ark:/81055/vdc_000000056052,N/A,N/A
"On the Maori Races of New Zealand. (New Zealand Exhibition, 1865. Ethnology.)","Colenso, William",person,N/A,"Colenso, William, f.l.s [person]",N/A,1865,New Zealand,"New Zealand
 ",Unspecified,New Zealand,Oceania,N/A,N/A,English,Monograph,Text,Online resource,N/A,014839651,http://access.bl.uk/item/viewer/ark:/81055/vdc_000000002A5A,Digital Store 10007.pp.28,ark:/81055/vdc_000000002A5A,N/A,N/A
"The Cape of Good Hope and the Eastern Province of Algoa Bay, &c, &c, with statistics of the Colony ... [With a map.]","Chase, John Centlivres",person,N/A,"Christopher, J. S. (Joseph S.) [person] ; Chase, John Centlivres [person]",N/A,1843,England,London,Unspecified,Cape of Good Hope,Africa,Pelham Richardson,N/A,English,Monograph,Text,Online resource,N/A,014807149,http://access.bl.uk/item/viewer/ark:/81055/vdc_00000005D5B8,Digital Store 1295.g.9,ark:/81055/vdc_00000005D5B8,N/A,N/A
"Cape Town of To-Day. First (third, fourth) issue",unknown,unknown,N/A,N/A,N/A,1890,South Africa,Cape Town,Unspecified,Cape of Good Hope,Africa,Penny & Carozzi,N/A,English,Monograph,Text,Online resource,Appendix,014806810,http://access.bl.uk/item/viewer/ark:/81055/vdc_00000005C880,Digital Store 10094.e.1,ark:/81055/vdc_00000005C880,N/A,N/A
"The Colony of New Zealand. Its history, vicissitudes and progress","Gisborne, William",person,N/A,"Gisborne, William [person]",N/A,1888,England,London,Unspecified,New Zealand,Oceania,Petherick,N/A,English,Monograph,Text,Online resource,N/A,014871810,http://access.bl.uk/item/viewer/ark:/81055/vdc_000000012AE6,Digital Store 10492.eee.9,ark:/81055/vdc_000000012AE6,N/A,N/A
"War: an heroic poem, from the taking of Minorca by the French: to the reduction of the Havannah ... The second edition, to the raising the siege of Quebec: With large amendments and additions.","Cockings, George",person,N/A,"Cockings, George [person]",N/A,1765,England,London,Quebec,Canada,America,N/A,Fourth Edition,English,Monograph,Text,Online resource,N/A,014816497,http://access.bl.uk/item/viewer/ark:/81055/vdc_00000002C2F8,Digital Store 11643.h.21,ark:/81055/vdc_00000002C2F8,N/A,N/A
"The new Southern Route from San Francisco through Southern California ... to New York and the Atlantic Seaboard, through St. Louis, Chicago or Canada","Townshend, S. Nugent",person,N/A,"Townshend, S. Nugent [person]",N/A,1881,United States of America,Chicago,Unspecified,Canada,America,Poole,N/A,English ; German,Monograph,Text,Online resource,N/A,014848147,http://access.bl.uk/item/viewer/ark:/81055/vdc_000000007308,Digital Store 10408.dd.6. (12.),ark:/81055/vdc_000000007308,N/A,N/A
"The Duke of Edinburgh in Ceylon : a book of elephant and elk sport ... Illustrated with chromo-lithographs, etc","Capper, John",person,N/A,"Capper, John [person] ; Brooks, Vincent [person]",N/A,1871,England,London,Unspecified,Ceylon,Asia,Provost,N/A,English,Monograph,Text,Online resource,N/A,014806814,http://access.bl.uk/item/viewer/ark:/81055/vdc_000000036960,Digital Store 10057.f.18,ark:/81055/vdc_000000036960,N/A,N/A
"A History of Gibraltar and its Sieges [With photographic illustrations, by J. H. Mann]","Mann, J.H",unknown,N/A,"Mann, J. H., photographer [person] ; Stephens, Frederic George, 1827-1907 [person]",N/A,1870,England,London,Unspecified,Gibraltar,Europe,Provost,N/A,English,Monograph,Text,Online resource,Appendix,014811602,http://access.bl.uk/item/viewer/ark:/81055/vdc_000000055A7C,Digital Store 10160.cc.15,ark:/81055/vdc_000000055A7C,N/A,N/A
"Quebec, the Sportsman's Land of Plenty for salmon, trout ... caribou and red deer","Fairchild, George M.",person,N/A,"Fairchild, George M. [person]",N/A,1899,Canada,Quebec,Quebec,Canada,America,Quebec Daily Telegraph,N/A,English,Monograph,Text,Online resource,N/A,014871679,http://access.bl.uk/item/viewer/ark:/81055/vdc_0000000131BE,Digital Store 10470.ff.25,ark:/81055/vdc_0000000131BE,N/A,N/A
A Sportsman's Eden (British Columbia),"Wolley, Clive Phillipps",person,N/A,"Wolley, Clive Phillipps, Sir [person]",N/A,1888,England,London,Unspecified,"British Columbia, Canada",America,R. Bentley,N/A,English,Monograph,Text,Online resource,N/A,014873165,http://access.bl.uk/item/viewer/ark:/81055/vdc_000000013224,Digital Store 10470.g.24,ark:/81055/vdc_000000013224,N/A,N/A
"Palms and Pearls: or, Scenes in Ceylon","Walters, Alan",person,N/A,"Walters, Alan [person]",N/A,1892,England,London,Unspecified,Ceylon,Asia,R. Bentley,N/A,English,Monograph,Text,Online resource,N/A,014831632,http://access.bl.uk/item/viewer/ark:/81055/vdc_000000036246,Digital Store 010057.ee.26,ark:/81055/vdc_000000036246,N/A,N/A
In an Enchanted Island; or a Winter Retreat in Cyprus ,"Mallock, William Hurrell",person,N/A,"Mallock, W. H. (William Hurrell), 1849-1923 [person]",1849-1923,1892,England,London,Unspecified,Cyprus,Europe,R. Bentley,Third Edition,English,Monograph,Text,Online resource,N/A,014818269,http://access.bl.uk/item/viewer/ark:/81055/vdc_00000005E824,Digital Store 10125.de.19,ark:/81055/vdc_00000005E824,N/A,N/A
The Yellow Wave. A romance of the Asiatic invasion of Australia,"Mackay, Kenneth",person,N/A,"Mackay, Kenneth [person]",N/A,1897,England,London,Unspecified,Australia,Oceania,R. Bentley,Another Edition,English,Monograph,Text,Online resource,N/A,014817993,http://access.bl.uk/item/viewer/ark:/81055/vdc_000000045222,Digital Store 012626.i.60,ark:/81055/vdc_000000045222,N/A,N/A
"African Hunting from Natal to the Zambesi including Lake Ngami, the Kalahari Desert, &c. from 1852 to 1860 ... With illustrations [including a portrait] by James Wolf and J. B. Zwecker","Baldwin, William Charles",person,N/A,"Baldwin, William Charles [person]",N/A,1894,England,London,Unspecified,Natal,Africa,R. Bentley,Third Edition,English,Monograph,Text,Online resource,N/A,014804521,http://access.bl.uk/item/viewer/ark:/81055/vdc_00000005A50A,Digital Store 010096.h.5,ark:/81055/vdc_00000005A50A,N/A,N/A
"A Trip to Boërland, or a year's travel, sport and gold-digging in the Transvaal and colony of Natal","Atcherley, Rowland J.",person,N/A,"Atcherley, Rowland J. [person]",N/A,1879,England,London,Unspecified,"Natal, Transvaal",Africa,R. Bentley,N/A,English,Monograph,Text,Online resource,N/A,014804268,http://access.bl.uk/item/viewer/ark:/81055/vdc_00000005B2C0,Digital Store 10097.h.5,ark:/81055/vdc_00000005B2C0,N/A,N/A
"The Tourist's Guide to Hong Kong, with short trips to the Mainland of China [With plans, etc.]","Hurley, R. C.",person,N/A,"Hurley, R. C. [person]",N/A,1897,Hong Kong,Hong Kong,Unspecified,Hong Kong,Africa,R. C. Hurley,N/A,English,Monograph,Text,Online resource,N/A,014814064,http://access.bl.uk/item/viewer/ark:/81055/vdc_0000000532DA,Digital Store 10058.ccc.26,ark:/81055/vdc_0000000532DA,N/A,N/A
A Supplement to the Geology of Weymouth and the Isle of Portland ... Consisting of twenty lithographic plates of fossils,"Damon, Robert",person,N/A,"Damon, Robert [person]",N/A,1888,England,Weymouth,Unspecified,Isle of Man,Europe,R. F. Damon,Another Edition,English,Monograph,Text,Online resource,N/A,014796233,http://access.bl.uk/item/viewer/ark:/81055/vdc_00000005E8C0,Digital Store 7108.aaa.6,ark:/81055/vdc_00000005E8C0,N/A,N/A
"Toronto, historical, descriptive, and pictorial, etc","Fraser, Alexander",person,N/A,"Fraser, Alexander, of Toronto [person]",N/A,1899,Canada,Toronto,Toronto,Canada,America,R. G. McLean,N/A,English,Monograph,Text,Online resource,N/A,014871738,http://access.bl.uk/item/viewer/ark:/81055/vdc_0000000131B8,Digital Store 10470.ff.24,ark:/81055/vdc_0000000131B8,N/A,N/A
Wheel Outings in Canada and C. W. A. Guide. Published under the auspices of the Touring Section of the Canadian Wheelmen's Association.,"Doolittle, P. E.",person,N/A,"Doolittle, P. E. [person]",N/A,1895,Canada,Toronto,Unspecified,Canada,America,R. G. McLean,N/A,English,Monograph,Text,Online resource,N/A,014871590,http://access.bl.uk/item/viewer/ark:/81055/vdc_000000012C84,Digital Store 10460.f.32,ark:/81055/vdc_000000012C84,N/A,N/A
"Natal, a re-print of all the authentic notices - descriptions - public acts and documents - petitions - manifestoes - correspondence - government advertisements and proclamations - bulletins and military despatches, relative to Natal; with a narrative of events at that settlement; in two parts","Chase, John Centlivres",person,N/A,"Chase, John Centlivres [person]",N/A,1843,South Africa,Graham's Town,Unspecified,Natal,Africa,R. Godlonton,N/A,English,Monograph,Text,Online resource,N/A,014807150,http://access.bl.uk/item/viewer/ark:/81055/vdc_00000005CA12,Digital Store 10096.f.20,ark:/81055/vdc_00000005CA12,N/A,N/A
A Sketch of the Island of Jersey. Dedicated to tourists,unknown,unknown,N/A,N/A,N/A,1851,Jersey,Jersey,Unspecified,Isle of Jersey,Europe,R. Gosset's General Printing Establishment,N/A,English,Monograph,Text,Online resource,Appendix,014840402,http://access.bl.uk/item/viewer/ark:/81055/vdc_000000002C7C,Digital Store 10362.h.19,ark:/81055/vdc_000000002C7C,N/A,N/A
"Journal of Voyages to Marguaritta, Trinidad & Maturin; with the author's travels across the Plains of the Llaneros to Angustura, and the subsequent descent of the Orinoco, in ... 1819 & 1820; comprising his several interviews with Bolivar ... and a variety of ... anecdotes","Adam, William Jackson",person,N/A,"Adam, William Jackson [person]",N/A,1824,Ireland,Dublin,Unspecified,Trinidad,America,R. M. Tims,N/A,English,Monograph,Text,Online resource,N/A,014803541,http://access.bl.uk/item/viewer/ark:/81055/vdc_000000054222,Digital Store 1430.h.11,ark:/81055/vdc_000000054222,N/A,N/A
1880. Western Australia. North-West Exploration. Journal of Expedition from De Grey to Port Darwin [With illustrations and a map.],"Forrest, Alexander",person,N/A,"Forrest, Alexander, f.r.g.s [person]",N/A,1880,Australia,Perth ; Western Australia,Unspecified,Australia,Oceania,R. Pether,N/A,English,Monograph,Text,Online resource,N/A,014891228,http://access.bl.uk/item/viewer/ark:/81055/vdc_000000019A16,Digital Store 10491.i.1,ark:/81055/vdc_000000019A16,N/A,N/A
"The Mines and Mineral Lands of Nova Scotia [A report.] By E. Gilpin ... Inspector of Mines, etc","Gilpin, Edwin",person,N/A,"Gilpin, Edwin [person]",N/A,1880,Nova Scotia,Halifax,Unspecified,Nova Scotia,America,R. T. Murray,N/A,English,Monograph,Text,Online resource,N/A,014811707,http://access.bl.uk/item/viewer/ark:/81055/vdc_000000052EE4,Digital Store 07108.g.3,ark:/81055/vdc_000000052EE4,N/A,N/A
"Notes of a tour in the plains of India, the Himala and Borneo; being extracts from the private letters of Dr. H, etc","Hooker, Joseph Dalton",person,N/A,"Hooker, Joseph Dalton, 1817-1911 [person]",1817-1911,1848,England,London,Unspecified,"Borneo, India",Asia,Reeve,N/A,English,Monograph,Text,Online resource,N/A,014813643,http://access.bl.uk/item/viewer/ark:/81055/vdc_0000000540B4,Digital Store 10058.ccc.12. (4.),ark:/81055/vdc_0000000540B4,N/A,N/A
"Summary of the Geology of India, between the Ganges, the Indus, and Cape Comorin ... From the 'Journal of the Bombay Branch of the Royal Asiatic Society.' [With a map.]","Carter, Henry John",person,N/A,"Carter, H. J. (Henry John), 1813-1895 [person]",1813-1895,1853,N/A,N/A,Unspecified,India,Asia,N/A,N/A,English,Monograph,Text,Online resource,N/A,014806965,http://access.bl.uk/item/viewer/ark:/81055/vdc_00000005D3B4,Digital Store 7107.aaa.13,ark:/81055/vdc_00000005D3B4,N/A,N/A
Travels and Voyages between Calcutta and Independent Tipperah,"Mookerjee, Sambhu Chandra",person,N/A,"Mookerjee, Sambhu Chandra, 1839-1894 [person]",1839-1894,1887,India,Calcutta,Unspecified,India,Asia,Reis & Rayyet Office,N/A,English,Monograph,Text,Online resource,N/A,014828891,http://access.bl.uk/item/viewer/ark:/81055/vdc_000000036156,Digital Store 10058.cc.29,ark:/81055/vdc_000000036156,N/A,N/A
"Notes on Chromic Iron Ore: its modes of occurrence, mining, dressing, uses and value; with a register of New South Wales localities","Carne, Joseph Edmund",person,N/A,"Carne, Joseph Edmund [person]",N/A,1898,Australia,Sydney,Unspecified,New South Wales,Oceania,N/A,N/A,English,Monograph,Text,Online resource,N/A,014767562,http://access.bl.uk/item/viewer/ark:/81055/vdc_000000057D26,Digital Store 07108.k,ark:/81055/vdc_000000057D26,N/A,N/A
"The Copper-mining Industry, and the distribution of copper ores in New South Wales [With illustrations and a map.]","Carne, Joseph Edmund",person,N/A,"Carne, Joseph Edmund [person]",N/A,1899,Australia,Sydney,Unspecified,New South Wales,Oceania,N/A,N/A,English,Monograph,Text,Online resource,N/A,014860212,http://access.bl.uk/item/viewer/ark:/81055/vdc_00000000950A,Digital Store 07108.k,ark:/81055/vdc_00000000950A,N/A,N/A
"Ko Méri; or, 'A Cycle of Cathay.' A story of New Zealand life","Weston, Jessie",person,N/A,"Weston, Jessie [person]",N/A,1890,England,London,Unspecified,New Zealand,Oceania,Remington,N/A,English,Monograph,Text,Online resource,N/A,014831949,http://access.bl.uk/item/viewer/ark:/81055/vdc_000000045AEC,Digital Store 012631.g.7,ark:/81055/vdc_000000045AEC,N/A,N/A
"Select Views of Sydney, New South Wales, drawn and engraved by J. Carmichael","Carmichael, John",person,N/A,"Carmichael, John, of Sydney [person]",N/A,1829,Australia,Sydney,Unspecified,New South Wales,Oceania,N/A,N/A,English,Monograph,Text,Online resource,N/A,014905179,http://access.bl.uk/item/viewer/ark:/81055/vdc_00000001E04E,Digital Store 10491.g.19,ark:/81055/vdc_00000001E04E,N/A,N/A
With the Irregulars in the Transvaal and Zululand,"Tomasson, W. H.",person,N/A,"Tomasson, W. H. [person]",N/A,1881,England,London,Unspecified,Transvaal,Africa,Remington,N/A,English,Monograph,Text,Online resource,N/A,014880390,http://access.bl.uk/item/viewer/ark:/81055/vdc_000000015F18,Digital Store 9061.b.19,ark:/81055/vdc_000000015F18,N/A,N/A
"Windabyne; a record of by-gone times in Australia, etc","Ranken, George",person,author,"Ranken, George, author [person]",N/A,1895,England,London,Unspecified,Australia,Oceania,Remington,N/A,English,Monograph,Text,Online resource,N/A,014827997,http://access.bl.uk/item/viewer/ark:/81055/vdc_0000000404B2,Digital Store 012628.g.25,ark:/81055/vdc_0000000404B2,N/A,N/A
London to Melbourne,"Longway, Marchamp",person,N/A,"Longway, Marchamp [person]",N/A,1889,England,London,Melbourne,Australia,Oceania,Remington,N/A,English,Monograph,Text,Online resource,N/A,014817462,http://access.bl.uk/item/viewer/ark:/81055/vdc_00000005B7EE,Digital Store 10024.c.23,ark:/81055/vdc_00000005B7EE,N/A,N/A
"Western Canada. Manitoba and the Northwest Territories, Assiniboia, Alberta, Saskatchewan. Information as to the resources and climates of these countries for intending farmers, etc","Canada, Department of the Interior",organisation,N/A,"Canada, Department of the Interior [organisation]",N/A,1899,Canada,Ottawa,Unspecified,Canada,America,N/A,N/A,English,Monograph,Text,Online resource,N/A,014871376,http://access.bl.uk/item/viewer/ark:/81055/vdc_000000013626,Digital Store 010470.e.4,ark:/81055/vdc_000000013626,N/A,N/A
Canada: a hand-book of information for intending emigrants,"Canada, Department of Agriculture",organisation,N/A,"Canada, Department of Agriculture [organisation]",N/A,1879,Canada,Ottawa,Unspecified,Canada,America,N/A,N/A,English,Monograph,Text,Online resource,N/A,014879578,http://access.bl.uk/item/viewer/ark:/81055/vdc_000000016968,Digital Store 10409.bbb.26. (2.),ark:/81055/vdc_000000016968,N/A,N/A
Australia Revenged. By 'Boomerang.',unknown,unknown,N/A,N/A,N/A,1894,England,London,Unspecified,Australia,Oceania,Remington,N/A,English,Monograph,Text,Online resource,N/A,014805638,http://access.bl.uk/item/viewer/ark:/81055/vdc_000000043038,Digital Store 012629.ff.42,ark:/81055/vdc_000000043038,N/A,N/A
The Ethnology of India [A paper read before the Royal Asiatic Society of Bengal.],"Campbell, George",person,N/A,"Campbell, George, 1824-1892 [person]",1824-1892,1872,India,Calcutta,Unspecified,Australia,Oceania,N/A,N/A,English,Monograph,Text,Online resource,N/A,014806743,http://access.bl.uk/item/viewer/ark:/81055/vdc_000000054180,Digital Store 10058.ccc.12. (8.),ark:/81055/vdc_000000054180,N/A,N/A
