Title,Name,Type.of.name,Role,All.names,Dates.associated.with.name,Date.of.publication ,Country.of.publication,Place.of.publication,City,Colony.Name,Continent,Publisher,Edition,Languages,Type.of.resource,Content.type,Material type,Uniform title,﻿BL.record.ID,URL,BL shelfmark,ARK,,
Winter Studies and Summer Rambles in Canada,"Jameson, Anna",person,N/A,"Jameson, Mrs (Anna), 1794-1860 [person]",1794-1860,1838,England,London,Unspecified,Canada,America,N/A,N/A,English,Monograph,Text,Online resource,N/A,014814424,http://access.bl.uk/item/viewer/ark:/81055/vdc_00000003480C,Digital Store 792.f.12,ark:/81055/vdc_00000003480C,N/A,N/A
Stories of Australia in the Early Days,"Clarke, Marcus",person,N/A,"Clarke, Marcus, 1846-1881 [person]",1846-1881,1897,England,London,Unspecified,Australia,Oceania,Hutchinson,N/A,English,Monograph,Text,Online resource,N/A,014879611,http://access.bl.uk/item/viewer/ark:/81055/vdc_0000000164FA,Digital Store 10491.d.34,ark:/81055/vdc_0000000164FA,N/A,N/A
"The Deviltree of El Dorado: a romance of British Guiana, etc [With a preface: Shall Roraima be given up to Venezuela?]","Aubrey, Frank",person,N/A,"Aubrey, Frank, pseudonym [i.e. Frank Atkins] [person]",N/A,1896,England,London,Unspecified,Guyana,America,Hutchinson,N/A,English,Monograph,Text,Online resource,N/A,014804308,http://access.bl.uk/item/viewer/ark:/81055/vdc_0000000477B4,Digital Store 012630.l.21,ark:/81055/vdc_0000000477B4,N/A,N/A
"Further proceedings of the Honourable House of Assembly of Jamaica relative to a Bill introduced into the House of Commons, for effectually preventing the unlawful importation of Slaves, and holding free persons in Slavery, in the British Colonies. To which are annexed, Examinations, taken upon Oath before a committee of that house for the purpose of disproving the allegations of the said Bill","Jamaica, Parliament, Assembly",organisation,N/A,"Great Britain, Parliament [organisation] ; Jamaica, Parliament, Assembly [organisation]",N/A,1816,England,London,Unspecified,Jamaica,America,N/A,N/A,English,Monograph,Text,Online resource,"The proceedings of the Governor and Assembly of Jamaica, in regard to the Maroon Negroes: published by order of the Assembly [Reprinted.] To which is prefixed an introductory account [by B. Edwards] containing observations on the disposition, ... and habits of life, of the Maroons, and a detail ... of the late war between those people and the white inhabitants",014866999,http://access.bl.uk/item/viewer/ark:/81055/vdc_0000000101F4,Digital Store 601.m.16,ark:/81055/vdc_0000000101F4,N/A,N/A
"Letters from India; describing a journey in the British dominions of India, Tibet, Lahore, and Cashmere, during the years 1828-31, etc","Jacquemont, Victor Vinceslas",person,N/A,"Jacquemont, Victor Vinceslas [person]",N/A,1834,England,London,Unspecified,India,Asia,N/A,N/A,English,Monograph,Text,Online resource,N/A,014814354,http://access.bl.uk/item/viewer/ark:/81055/vdc_00000005B578,Digital Store 1046.d.11,ark:/81055/vdc_00000005B578,N/A,N/A
"Annals of some of the British Norman Isles constituting the Bailiwick of Guernsey, etc. pt. 1","Jacob, John",person,N/A,"Jacob, John, of Guernsey [person]",N/A,1830,France,Paris,Unspecified,Isle of Guernsey,Europe,N/A,N/A,English,Monograph,Text,Online resource,N/A,014814342,http://access.bl.uk/item/viewer/ark:/81055/vdc_000000001FC8,Digital Store 010360.l.19 ; Digital Store 10353.c.23,ark:/81055/vdc_000000001FC8,N/A,N/A
Journal of a voyage from Bombay to Calcutta [An extract from the Bengal Hurkaru.],"Jackson, James",person,N/A,"Jackson, James, a passenger on board the Caudry [person]",N/A,1824,India,Calcutta,Bombay,India,Asia,N/A,N/A,English,Monograph,Text,Online resource,N/A,014622876,http://access.bl.uk/item/viewer/ark:/81055/vdc_0000000354D8,Digital Store 10057.bbb.22,ark:/81055/vdc_0000000354D8,N/A,N/A
The Adventures of Leonard Vane. An African story,"Bowen, E. J.",person,writer,"Bowen, E. J., writer [person]",N/A,1894,England,London,Unspecified,Unspecified,Africa,Hutchinson ; Nimeguen,N/A,English,Monograph,Text,Online resource,N/A,014805740,http://access.bl.uk/item/viewer/ark:/81055/vdc_000000041130,Digital Store 012629.ff.27,ark:/81055/vdc_000000041130,N/A,N/A
"[The Australia Directory.] Vol. 2. East Coast, Torres Strait and Coral Sea ...","Yule, C.B.",person,N/A,"Great Britain, Hydrographic Department [organisation]",N/A,1859,England,London,Unspecified,Australia,Oceania,Hydrographic Office,N/A,English,Monograph,Text,Online resource,Sailing Directions. Australia,014810021,http://access.bl.uk/item/viewer/ark:/81055/vdc_00000003408C,Digital Store 10496.ee.1*,ark:/81055/vdc_00000003408C,N/A,N/A
"[The Australia Directory.] Vol. 3. North, North-West, and West Coasts","Great Britain, Hydrographic Department",organisation,N/A,"Great Britain, Hydrographic Department [organisation]",N/A,1863,England,London,Unspecified,Australia,Oceania,Hydrographic Office,N/A,English,Monograph,Text,Online resource,Sailing Directions. Australia,014810023,http://access.bl.uk/item/viewer/ark:/81055/vdc_000000034098,Digital Store 10496.ee.1**,ark:/81055/vdc_000000034098,N/A,N/A
Indian Ocean. Sailing Directions for Mauritius and the islands included in its government. ... With an appendix: Réunion Island,"Great Britain, Hydrographic Department",organisation,N/A,"Great Britain, Hydrographic Department [organisation]",N/A,1884,England,London,Unspecified,India,Asia,Hydrographic Office,N/A,English,Monograph,Text,Online resource,Sailing Directions. Indian Ocean,014810055,http://access.bl.uk/item/viewer/ark:/81055/vdc_0000000343E0,Digital Store 10496.g.31,ark:/81055/vdc_0000000343E0,N/A,N/A
"Travels and adventures in Eastern Africa, descriptive of the Zoolus ... with a sketch of Natal","Isaacs, Nathaniel",person,N/A,"Isaacs, Nathaniel, 1808- [person]",1808-,1836,England,London,Unspecified,South Africa,Africa,N/A,N/A,English,Monograph,Text,Online resource,N/A,014814269,http://access.bl.uk/item/viewer/ark:/81055/vdc_00000005D94E,Digital Store 1047.h.16,ark:/81055/vdc_00000005D94E,N/A,N/A
The state and position of Western Australia: commonly called the Swan-River Settlement,"Irwin, Frederick Chidley",person,Capt. 63rd Regiment,"Irwin, Frederick Chidley, Capt. 63rd Regiment [person]",N/A,1835,England,London,Unspecified,Australia,Oceania,N/A,N/A,English,Monograph,Text,Online resource,N/A,014885428,http://access.bl.uk/item/viewer/ark:/81055/vdc_000000015DF2,Digital Store 10492.ee.6. (1.),ark:/81055/vdc_000000015DF2,N/A,N/A
"Astoria; or, Enterprise beyond the Rocky Mountains","Irving, Washington",person,N/A,"Irving, Washington [person]",N/A,1841,United States of America,Philadelphia,Unspecified,"British Columbia, Canada",America,N/A,N/A,English,Monograph,Text,Online resource,Single Works,014832829,http://access.bl.uk/item/viewer/ark:/81055/vdc_000000002220,Digital Store 1431.k.8,ark:/81055/vdc_000000002220,N/A,N/A
Remarks on the rivers of Berbice and Demerara.,"Petley, J.",person,N/A,"Great Britain, Hydrographic Department [organisation]",N/A,1845,England,London,Unspecified,Berbice,America,Hydrographic Office,N/A,English,Monograph,Text,Online resource,Miscellaneous Publications,014622832,http://access.bl.uk/item/viewer/ark:/81055/vdc_000000034200,Digital Store 10496.f.7,ark:/81055/vdc_000000034200,N/A,N/A
"The Annals of our Time ...revised and brought down to the Peace of Versailles, February 28, 1871. (Supplement ... February 21, 1871 to March 19, 1874-March 20, 1874 to the Occupation of Cyprus.)","Irving, Joseph",person,N/A,"Irving, Joseph [person]",N/A,1871,England,London,Unspecified,Cyprus,Europe,N/A,Another Edition,English,Monograph,Text,Online resource,N/A,014860556,http://access.bl.uk/item/viewer/ark:/81055/vdc_00000000971A,Digital Store 9004.dd.2,ark:/81055/vdc_00000000971A,N/A,N/A
"Sailing directions for the Fiji Islands and adjacent waters, etc. (Supplement.)","Great Britain, Hydrographic Department",organisation,N/A,"Great Britain, Hydrographic Department [organisation]",N/A,1882,England,London,Unspecified,Fiji,Oceania,Hydrographic Office,N/A,English,Monograph,Text,Online resource,Sailing Directions. Fiji Islands,014885282,http://access.bl.uk/item/viewer/ark:/81055/vdc_000000017C58,Digital Store 10496.g.1,ark:/81055/vdc_000000017C58,N/A,N/A
Sailing Directions for the South-East Coast of Nova Scotia and Bay of Fundy. Compiled from various Admiralty surveys.,"McDougall, G.F",person,N/A,"Great Britain, Hydrographic Department [organisation]",N/A,1885,England,London,Unspecified,Nova Scotia,America,Hydrographic Office,Third Edition,English,Monograph,Text,Online resource,Sailing Directions. Nova Scotia,014810069,http://access.bl.uk/item/viewer/ark:/81055/vdc_000000035256,Digital Store 10496.gg.20,ark:/81055/vdc_000000035256,N/A,N/A
Sailing Directions for the South-East Coast of Nova Scotia and Bay of Fundy. Compiled from various Admiralty surveys.,"McDougall, G.F",person,N/A,"Great Britain, Hydrographic Department [organisation]",N/A,1867,England,London,Unspecified,Nova Scotia,America,Hydrographic Office,N/A,English,Monograph,Text,Online resource,Sailing Directions. Nova Scotia,014810068,http://access.bl.uk/item/viewer/ark:/81055/vdc_000000035250,Digital Store 10496.gg.19,ark:/81055/vdc_000000035250,N/A,N/A
Sailing Directions for the South-East Coast of Nova Scotia and Bay of Fundy. Compiled from various Admiralty surveys.,"McDougall, G.F",person,N/A,"Great Britain, Hydrographic Department [organisation]",N/A,1894,England,London,Unspecified,Nova Scotia,America,Hydrographic Office,Fourth Edition,English,Monograph,Text,Online resource,Sailing Directions. Nova Scotia,014885292,http://access.bl.uk/item/viewer/ark:/81055/vdc_000000017CDC,Digital Store 10496.gg.21,ark:/81055/vdc_000000017CDC,N/A,N/A
Voyages et mémoires sur le Canada. Par Franquet,Franquet,person,N/A,"Franquet, Ingénieur du Roi [person] ; Institut Canadien (Quebec) [organisation]",N/A,1889,Canada,Quebec,Unspecified,"British Columbia, Canada",America,N/A,N/A,French,Monograph,Text,Online resource,N/A,014872633,http://access.bl.uk/item/viewer/ark:/81055/vdc_000000012FDE,Digital Store 10470.dd.32,ark:/81055/vdc_000000012FDE,N/A,N/A
"The Bay of Bengal Pilot, including South-West Coast of Ceylon, North Coast of Sumatra, Nicobar, and Andaman Islands.","Great Britain, Hydrographic Department",organisation,N/A,"Great Britain, Hydrographic Department [organisation]",N/A,1892,England,London,Unspecified,Ceylon,Asia,Hydrographic Office,Second Edition,English,Monograph,Text,Online resource,Sailing Directions. Bengal,014810024,http://access.bl.uk/item/viewer/ark:/81055/vdc_000000034230,Digital Store 10496.f.31,ark:/81055/vdc_000000034230,N/A,N/A
"The Bay of Bengal Pilot, including South-West Coast of Ceylon, North Coast of Sumatra, Nicobar, and Andaman Islands. Compiled from various authorities. (Supplement.)","Great Britain, Hydrographic Department",organisation,N/A,"Great Britain, Hydrographic Department [organisation] ; Dawson, Llewellyn Styles [person]",N/A,1887,England,London,Unspecified,Ceylon,Asia,Hydrographic Office,N/A,English,Monograph,Text,Online resource,Sailing Directions. Bengal,014885272,http://access.bl.uk/item/viewer/ark:/81055/vdc_000000017C46,Digital Store 10496.f.5,ark:/81055/vdc_000000017C46,N/A,N/A
